2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
Leeds 070B,E01011617,678,117,186,63,53,16,3,3,7
Leeds 070C,E01011618,731,136,188,60,56,15,9,1,10
Leeds 070D,E01011621,589,80,174,70,44,11,3,5,4
Leeds 071A,E01011284,1185,151,320,132,67,29,5,4,16
Leeds 071B,E01011292,742,109,196,73,37,40,16,5,7
Leeds 071C,E01011293,854,139,208,129,51,24,10,1,5
Leeds 071D,E01011294,451,85,93,54,24,9,4,0,4
Leeds 071E,E01011363,839,182,135,87,62,21,5,5,23
Leeds 072A,E01011616,666,55,204,82,61,10,0,3,10
Leeds 072B,E01011620,521,51,148,70,46,9,5,1,2
Leeds 072C,E01011622,681,92,228,75,53,16,2,11,8
Leeds 072D,E01011624,708,85,225,83,67,22,4,10,6
Leeds 073A,E01011411,939,61,69,161,85,33,5,6,6
Leeds 073B,E01011414,788,53,84,147,70,19,8,8,6
Leeds 073C,E01011418,741,49,64,132,70,29,7,3,6
Leeds 073D,E01011419,511,27,34,89,49,14,3,3,4
Leeds 074A,E01011396,953,91,76,110,156,44,10,7,17
Leeds 074B,E01011399,742,88,33,110,122,22,7,5,5
Leeds 074C,E01011400,651,76,34,65,105,40,10,3,8
Leeds 074D,E01011403,610,59,30,57,131,26,7,2,5
Leeds 075B,E01011623,602,127,160,62,46,19,5,4,11
Leeds 075C,E01011625,678,149,191,77,51,12,12,7,16
Leeds 075D,E01011626,1176,278,194,121,67,37,9,11,26
Leeds 075E,E01033021,1082,287,121,71,52,16,20,5,19
Leeds 075F,E01033033,837,183,53,33,47,22,8,8,24
Leeds 075G,E01033034,1287,264,91,44,65,29,15,8,8
Leeds 076A,E01011602,905,102,64,185,75,14,3,8,12
Leeds 076B,E01011603,791,76,83,158,66,11,6,7,3
Leeds 076C,E01011605,873,89,79,171,68,10,2,5,1
Leeds 076D,E01011606,933,102,168,153,123,26,8,6,6
Leeds 076E,E01011613,834,89,84,192,84,19,3,2,6
Leeds 077A,E01011397,727,74,30,83,130,46,8,5,7
Leeds 077B,E01011398,618,34,36,60,138,27,7,0,7
Leeds 077C,E01011401,895,66,35,81,178,48,13,5,8
Leeds 077D,E01011404,671,55,21,55,148,36,9,4,5
Leeds 077E,E01011405,575,46,15,68,109,25,4,4,6
Leeds 078A,E01011725,592,76,183,118,35,12,3,2,2
Leeds 078B,E01011729,731,82,189,122,43,18,5,2,3
Leeds 078C,E01011730,680,93,168,116,43,10,8,3,8
Leeds 078D,E01011735,677,71,188,151,40,15,5,4,4
Leeds 079A,E01011600,781,84,68,146,61,13,4,2,4
Leeds 079B,E01011601,806,96,99,169,45,10,3,1,5
Leeds 079C,E01011604,735,76,49,167,51,11,2,5,4
Leeds 079D,E01011607,845,95,107,189,39,12,3,6,3
Leeds 079E,E01011612,622,84,71,129,35,7,2,3,4
Leeds 080A,E01011726,649,46,151,137,26,13,2,4,5
Leeds 080B,E01011727,813,70,160,146,54,17,4,6,4
Leeds 080C,E01011728,689,30,127,153,44,16,1,3,4
Leeds 080D,E01011739,681,78,164,122,35,13,0,3,7
Leeds 081A,E01011362,844,114,197,96,44,25,5,3,12
Leeds 081B,E01011731,701,83,150,103,45,17,4,3,10
Leeds 081C,E01011732,1015,129,226,141,55,28,5,2,8
Leeds 081D,E01011733,787,112,134,111,55,14,2,1,0
Leeds 082A,E01011366,743,129,200,92,59,29,5,7,8
Leeds 082C,E01011368,665,120,142,67,47,19,4,5,12
Leeds 082D,E01011370,717,84,200,80,39,26,4,3,11
Leeds 082E,E01033013,737,165,81,55,37,13,5,5,14
Leeds 082G,E01035046,939,149,72,43,47,37,8,3,11
Leeds 082H,E01035047,762,161,97,49,45,19,5,2,10
Leeds 083A,E01011734,1658,121,292,258,103,34,12,13,15
Leeds 083B,E01011736,718,86,146,105,46,12,4,3,0
Leeds 083C,E01011737,696,82,160,117,43,8,4,8,2
Leeds 083D,E01011738,735,27,115,159,53,19,3,3,7
Leeds 085A,E01011364,950,184,219,87,55,29,16,14,13
Leeds 085B,E01011371,674,153,187,70,52,21,7,4,18
Leeds 085C,E01011373,595,82,147,93,37,23,11,1,9
Leeds 085D,E01011374,608,117,179,53,29,17,4,4,15
Leeds 086A,E01011312,695,142,194,56,54,22,6,5,28
Leeds 086B,E01011316,756,103,220,72,46,26,7,6,13
Leeds 086C,E01011372,649,84,186,73,56,18,8,4,18
Leeds 086D,E01011375,712,108,183,62,61,22,11,4,10
Leeds 087A,E01011390,667,33,88,168,75,20,4,3,3
Leeds 087B,E01011391,635,28,66,155,80,18,3,7,5
Leeds 087C,E01011392,921,41,74,138,158,31,21,1,12
Leeds 087D,E01011402,879,71,51,122,139,41,8,2,3
Leeds 088A,E01011298,729,9,55,67,199,42,11,1,7
Leeds 088B,E01011299,1473,42,111,159,348,79,17,16,19
Leeds 088C,E01011302,808,19,50,95,173,31,14,4,7
Leeds 088D,E01011303,540,32,43,75,117,24,6,3,5
Leeds 089A,E01011300,670,59,48,82,131,34,7,1,6
Leeds 089B,E01011301,611,28,43,76,135,28,12,3,3
Leeds 089C,E01011304,694,39,63,89,161,32,11,4,8
Leeds 089D,E01011305,812,44,61,91,180,35,4,2,7
Leeds 089E,E01011306,683,29,66,92,132,34,11,0,8
Leeds 090A,E01011315,752,111,178,80,42,15,8,6,10
Leeds 090B,E01011317,702,79,203,101,43,12,3,5,13
Leeds 090C,E01011318,607,71,199,107,32,23,1,7,4
Leeds 090D,E01011321,698,83,174,83,65,17,4,7,11
Leeds 090E,E01011369,771,116,207,84,40,12,4,4,9
Leeds 091A,E01011313,789,126,195,75,43,25,8,1,8
Leeds 091B,E01011314,801,111,221,81,40,25,3,7,11
Leeds 091C,E01011319,687,92,162,73,33,10,7,3,6
Leeds 091D,E01011320,827,97,180,109,50,25,6,6,13
Leeds 091E,E01011322,707,66,173,101,44,12,3,1,4
Leeds 092A,E01011471,621,104,165,58,34,27,5,4,8
Leeds 092B,E01011472,645,124,190,68,38,18,3,2,11
Leeds 092C,E01011473,600,69,199,70,45,18,9,4,9
Leeds 092D,E01011474,641,94,179,88,23,19,7,3,9
Leeds 093A,E01011518,1295,87,246,183,92,32,2,17,11
Leeds 093B,E01011524,654,55,111,118,38,8,3,1,6
Leeds 093C,E01011526,714,43,81,131,62,8,3,10,7
Leeds 093D,E01011531,716,48,69,124,63,6,5,1,4
Leeds 094A,E01011466,659,64,156,123,36,18,8,2,1
Leeds 094B,E01011469,685,61,151,113,47,16,6,1,4
Leeds 094C,E01011475,658,85,168,113,50,18,4,1,5
Leeds 094D,E01011476,492,67,137,103,28,7,3,2,5
Leeds 095A,E01011519,718,42,113,141,46,15,1,7,3
Leeds 095B,E01011522,681,30,81,156,52,15,7,8,6
Leeds 095C,E01011525,795,111,73,154,57,13,4,3,4
Leeds 095D,E01011528,875,84,99,144,63,8,4,8,14
Leeds 095E,E01011532,760,106,87,185,46,13,6,4,7
Leeds 096A,E01011520,713,45,95,147,41,7,4,10,3
Leeds 096B,E01011521,1126,50,108,239,108,19,10,9,9
Leeds 096C,E01011523,906,66,94,177,73,20,4,10,7
Leeds 096D,E01011527,843,42,83,182,111,18,5,5,10
Leeds 096E,E01011529,630,55,79,140,69,9,3,6,6
Leeds 097B,E01011635,878,44,43,199,78,35,13,1,6
Leeds 097C,E01011637,883,38,54,196,57,38,9,2,9
Leeds 097D,E01011638,703,36,64,166,60,18,9,1,3
Leeds 097F,E01032487,441,30,26,123,35,13,5,3,3
Leeds 097G,E01032488,867,30,51,196,72,32,11,6,12
Leeds 098A,E01011627,542,53,44,124,31,23,7,5,8
Leeds 098B,E01011628,586,41,40,151,59,16,7,3,7
Leeds 098C,E01011629,634,39,48,172,36,23,7,2,2
Leeds 098D,E01011632,585,60,62,156,41,19,8,1,8
Leeds 098E,E01011633,710,48,43,170,47,24,6,3,1
Leeds 099C,E01011502,617,56,124,119,52,17,6,1,6
Leeds 099E,E01032497,643,53,139,149,47,17,6,2,9
Leeds 099F,E01032498,737,45,138,128,53,11,5,2,5
Leeds 099G,E01035048,1058,41,185,227,83,26,11,7,13
Leeds 099H,E01035049,905,31,127,188,88,17,10,10,10
Leeds 100A,E01011496,887,29,94,215,59,24,10,5,5
Leeds 100B,E01011630,1109,48,94,255,69,37,11,8,4
Leeds 100C,E01011634,704,36,63,177,46,21,8,1,3
Leeds 100D,E01011636,909,49,50,206,84,31,10,3,7
